SURNAME,FREQUENCY
SMITH,"2,442,977"
JOHNSON,"1,932,812"
WILLIAMS,"1,625,252"
BROWN,"1,437,026"
JONES,"1,425,470"
GARCIA,"1,166,120"
MILLER,"1,161,437"
DAVIS,"1,116,357"
RODRIGUEZ,"1,094,924"
MARTINEZ,"1,060,159"
HERNANDEZ,"1,043,281"
LOPEZ,"874,523"
GONZALEZ,"841,025"
WILSON,"801,882"
ANDERSON,"784,404"
THOMAS,"756,142"
TAYLOR,"751,209"
MOORE,"724,374"
JACKSON,"708,099"
MARTIN,"702,625"
LEE,"693,023"
PEREZ,"681,645"
THOMPSON,"664,644"
WHITE,"660,491"
HARRIS,"624,252"
SANCHEZ,"612,752"
CLARK,"562,679"
RAMIREZ,"557,423"
LEWIS,"531,781"
ROBINSON,"529,821"
WALKER,"523,129"
YOUNG,"484,447"
ALLEN,"482,607"
KING,"465,422"
WRIGHT,"458,980"
SCOTT,"439,530"
TORRES,"437,813"
NGUYEN,"437,645"
HILL,"434,827"
FLORES,"433,969"
GREEN,"430,182"
ADAMS,"427,865"
NELSON,"424,958"
BAKER,"419,586"
HALL,"407,076"
RIVERA,"391,114"
CAMPBELL,"386,157"
MITCHELL,"384,486"
CARTER,"376,966"
ROBERTS,"376,774"
GOMEZ,"365,655"
PHILLIPS,"360,802"
EVANS,"355,593"
TURNER,"348,627"
DIAZ,"347,636"
PARKER,"336,221"
CRUZ,"334,201"
EDWARDS,"332,423"
COLLINS,"329,770"
REYES,"327,904"
STEWART,"324,957"
MORRIS,"318,884"
MORALES,"311,777"
MURPHY,"308,417"
COOK,"302,589"
ROGERS,"302,261"
GUTIERREZ,"293,218"
ORTIZ,"286,899"
MORGAN,"286,280"
COOPER,"280,791"
PETERSON,"278,297"
BAILEY,"277,845"
REED,"277,030"
KELLY,"267,394"
HOWARD,"264,826"
RAMOS,"263,464"
KIM,"262,352"
COX,"261,231"
WARD,"260,464"
RICHARDSON,"259,798"
WATSON,"252,579"
BROOKS,"251,663"
CHAVEZ,"250,898"
WOOD,"250,715"
JAMES,"249,379"
BENNETT,"247,599"
GRAY,"246,116"
MENDOZA,"242,771"
RUIZ,"238,234"
HUGHES,"236,271"
PRICE,"235,251"
ALVAREZ,"233,983"
CASTILLO,"230,420"
SANDERS,"230,374"
PATEL,"229,973"
MYERS,"229,895"
LONG,"229,374"
ROSS,"229,368"
FOSTER,"227,764"
JIMENEZ,"227,118"
POWELL,"224,874"
JENKINS,"222,653"
PERRY,"221,741"
RUSSELL,"221,558"
SULLIVAN,"220,990"
BELL,"220,599"
COLEMAN,"219,070"
BUTLER,"218,847"
HENDERSON,"218,393"
BARNES,"218,241"
GONZALES,"214,758"
FISHER,"214,703"
VASQUEZ,"212,781"
SIMMONS,"210,182"
ROMERO,"208,614"
JORDAN,"208,403"
PATTERSON,"205,423"
ALEXANDER,"204,621"
HAMILTON,"201,746"
GRAHAM,"201,159"
REYNOLDS,"200,247"
GRIFFIN,"198,406"
WALLACE,"197,276"
MORENO,"196,925"
WEST,"195,818"
COLE,"195,289"
HAYES,"194,246"
BRYANT,"192,773"
HERRERA,"192,711"
GIBSON,"190,667"
ELLIS,"188,968"
TRAN,"188,498"
MEDINA,"188,497"
AGUILAR,"186,512"
STEVENS,"185,674"
MURRAY,"184,910"
FORD,"184,832"
CASTRO,"184,134"
MARSHALL,"183,922"
OWENS,"182,719"
HARRISON,"181,091"
FERNANDEZ,"180,842"
MCDONALD,"180,497"
WOODS,"177,425"
WASHINGTON,"177,386"
KENNEDY,"176,865"
WELLS,"176,230"
VARGAS,"173,835"
HENRY,"170,964"
CHEN,"169,580"
FREEMAN,"169,149"
WEBB,"168,878"
TUCKER,"167,446"
GUZMAN,"167,044"
BURNS,"165,925"
CRAWFORD,"164,457"
OLSON,"164,035"
SIMPSON,"163,181"
PORTER,"163,054"
HUNTER,"162,440"
GORDON,"161,833"
MENDEZ,"161,717"
SILVA,"161,633"
SHAW,"160,400"
SNYDER,"160,262"
MASON,"160,213"
DIXON,"159,480"
MUNOZ,"158,483"
HUNT,"158,421"
HICKS,"158,320"
HOLMES,"156,780"
PALMER,"156,601"
WAGNER,"155,795"
BLACK,"154,738"
ROBERTSON,"153,666"
BOYD,"153,469"
ROSE,"153,397"
STONE,"153,329"
SALAZAR,"152,703"
FOX,"152,334"
WARREN,"152,147"
MILLS,"151,942"
MEYER,"150,895"
RICE,"149,500"
SCHMIDT,"147,034"
GARZA,"147,005"
DANIELS,"146,570"
FERGUSON,"146,426"
NICHOLS,"145,584"
STEPHENS,"144,646"
SOTO,"144,451"
WEAVER,"143,837"
RYAN,"143,452"
GARDNER,"142,894"
PAYNE,"142,601"
GRANT,"142,277"
DUNN,"141,427"
KELLEY,"140,693"
SPENCER,"139,951"
HAWKINS,"139,751"
ARNOLD,"138,893"
PIERCE,"138,629"
VAZQUEZ,"138,322"
HANSEN,"137,977"
PETERS,"137,513"
SANTOS,"137,232"
HART,"137,184"
BRADLEY,"136,720"
KNIGHT,"136,713"
ELLIOTT,"135,765"
CUNNINGHAM,"135,718"
DUNCAN,"135,187"
ARMSTRONG,"135,044"
HUDSON,"134,963"
CARROLL,"134,317"
LANE,"134,227"
RILEY,"133,872"
ANDREWS,"133,799"
ALVARADO,"133,501"
RAY,"133,171"
DELGADO,"132,985"
BERRY,"132,812"
PERKINS,"131,440"
HOFFMAN,"131,401"
JOHNSTON,"131,373"
MATTHEWS,"131,303"
PENA,"130,776"
RICHARDS,"130,529"
CONTRERAS,"130,164"
WILLIS,"130,152"
CARPENTER,"129,898"
LAWRENCE,"129,699"
SANDOVAL,"128,948"
GUERRERO,"128,677"
GEORGE,"128,625"
CHAPMAN,"127,939"
RIOS,"127,794"
ESTRADA,"127,470"
ORTEGA,"127,256"
WATKINS,"127,083"
GREENE,"126,101"
NUNEZ,"125,350"
WHEELER,"125,058"
VALDEZ,"124,995"
HARPER,"124,461"
BURKE,"122,877"
LARSON,"122,587"
SANTIAGO,"122,212"
