name,pop2019
china,1433783.686
india,1366417.754
usa,329064.917
indonesia,270625.568
pakistan,216565.318
brazil,211049.527
nigeria,200963.599
bangladesh,163046.161
russia,145872.256
mexico,127575.529
japan,126860.301
ethiopia,112078.73
philippines,108116.615
egypt,100388.073
vietnam,96462.106
dr_congo,86790.567
germany,83517.045
turkey,83429.615
iran,82913.906
thailand,69625.582
great_britain,67530.172
france,65129.728
italy,60550.075
south_africa,58558.27
tanzania,58005.463
myanmar,54045.42
kenya,52573.973
south_korea,51225.308
colombia,50339.443
spain,46736.776
argentina,44780.677
uganda,44269.594
ukraine,43993.638
algeria,43053.054
sudan,42813.238
iraq,39309.783
afghanistan,38041.754
poland,37887.768
canada,37411.047
morocco,36471.769
saudi_arabia,34268.528
uzbekistan,32981.716
peru,32510.453
malaysia,31949.777
angola,31825.295
ghana,30417.856
mozambique,30366.036
yemen,29161.922
nepal,28608.71
venezuela,28515.829
madagascar,26969.307
cameroon,25876.38
ivory_coast,25716.544
north_korea,25666.161
australia,25203.198
taiwan,23773.876
niger,23310.715
sri_lanka,21323.733
burkina_faso,20321.378
mali,19658.031
romania,19364.557
chile,18952.038
malawi,18628.747
kazakhstan,18551.427
zambia,17861.03
guatemala,17581.472
ecuador,17373.662
the_netherlands,17097.13
syria,17070.135
cambodia,16486.542
senegal,16296.364
chad,15946.876
somalia,15442.905
zimbabwe,14645.468
guinea,12771.246
rwanda,12626.95
benin,11801.151
tunisia,11694.719
belgium,11539.328
burundi,11530.58
bolivia,11513.1
cuba,11333.483
haiti,11263.077
south_sudan,11062.113
dominican_republic,10738.958
czech_republic,10689.209
greece,10473.455
portugal,10226.187
jordan,10101.694
azerbaijan,10047.718
sweden,10036.379
united_arab_emirates,9770.529
honduras,9746.117
hungary,9684.679
belarus,9452.411
tajikistan,9321.018
austria,8955.102
papua_new_guinea,8776.109
serbia,8772.235
swiss,8591.365
israel,8519.377
togo,8082.366
sierra_leone,7813.215
hong_kong,7436.154
laos,7169.455
paraguay,7044.636
bulgaria,7000.119
lebanon,6855.713
libya,6777.452
nicaragua,6545.502
el_salvador,6453.553
kyrgyzstan,6415.85
turkmenistan,5942.089
singapore,5804.337
denmark,5771.876
finland,5532.156
slovakia,5457.013
republic_of_the_congo,5380.508
norway,5378.857
costa_rica,5047.561
palestine,4981.42
oman,4974.986
liberia,4937.374
ireland,4882.495
new_zealand,4783.063
central_african_republic,4745.185
mauritania,4525.696
panama,4246.439
kuwait,4207.083
croatia,4130.304
moldova,4043.263
georgia,3996.765
eritrea,3497.117
uruguay,3461.734
bosnia_and_herzegovina,3301
mongolia,3225.167
armenia,2957.731
jamaica,2948.279
puerto_rico,2933.408
albania,2880.917
qatar,2832.067
lithuania,2759.627
namibia,2494.53
gambia,2347.706
botswana,2303.697
gabon,2172.579
lesotho,2125.268
macedonia,2083.459
slovenia,2078.654
guinea-bissau,1920.922
latvia,1906.743
bahrain,1641.172
trinidad_and_tobago,1394.973
equatorial_guinea,1355.986
estonia,1325.648
timor-leste,1293.119
mauritius,1269.668
cyprus,1198.575
swaziland,1148.13
djibouti,973.56
fiji,889.953
reunion,888.927
comoros,850.886
guyana,782.766
bhutan,763.092
solomon_islands,669.823
macau,640.445
montenegro,627.987
luxembourg,615.729
western_sahara,582.463
suriname,581.372
cape_verde,549.935
maldives,530.953
malta,440.372
brunei,433.285
guadeloupe,400.056
belize,390.353
bahamas,389.482
martinique,375.554
iceland,339.031
vanuatu,299.882
french_guiana,290.832
barbados,287.025
new_caledonia,282.75
french_polynesia,279.287
mayotte,266.15
sao_tome_and_principe,215.056
samoa,197.097
saint_lucia,182.79
guam,167.294
curacao,163.424
kiribati,117.606
micronesia,113.815
grenada,112.003
saint_vincent_and_the_grenadines,110.589
aruba,106.314
united_states_virgin_islands,104.578
tonga,104.494
seychelles,97.739
antigua_and_barbuda,97.118
isle_of_man,84.584
andorra,77.142
dominica,71.808
cayman_islands,64.948
bermuda,62.506
marshall_islands,58.791
northern_mariana_islands,57.216
greenland,56.672
american_samoa,55.312
saint_kitts_and_nevis,52.823
faroe_islands,48.678
sint_maarten,42.388
monaco,38.964
turks_and_caicos_islands,38.191
liechtenstein,38.019
saint_martin,38.002
san_marino,33.86
gibraltar,33.701
british_virgin_islands,30.03
palau,18.008
cook_islands,17.548
anguilla,14.869
tuvalu,11.646
wallis_and_futuna,11.432
nauru,10.756
saint_barthélemy,9.847
saint_pierre_and_miquelon,5.822
montserrat,4.989
falkland_islands,3.377
niue,1.615
tokelau,1.34
vatican_city,0.799
east_frisia,500.000
arabia,32000.000
the_stans,72000.000
bosniaand,3507.000
kosovo,1831.000
korea,51470.000
other_countries,3000000.000
